,rms,peaks,DateTime
32.0,0.0019618142,0,2025-09-30 13:48:32+02:00
32.00290249433107,0.0023949132,0,2025-09-30 13:48:32.002902494+02:00
32.005804988662135,0.0027034723,0,2025-09-30 13:48:32.005804989+02:00
32.008707482993195,0.0027127923,0,2025-09-30 13:48:32.008707483+02:00
32.01160997732426,0.0025478252,0,2025-09-30 13:48:32.011609977+02:00
32.01451247165533,0.002614548,0,2025-09-30 13:48:32.014512472+02:00
32.0174149659864,0.0025585887,0,2025-09-30 13:48:32.017414966+02:00
32.02031746031746,0.0025545936,0,2025-09-30 13:48:32.020317460+02:00
32.023219954648525,0.002486194,0,2025-09-30 13:48:32.023219955+02:00
32.02612244897959,0.002184988,0,2025-09-30 13:48:32.026122449+02:00
32.02902494331066,0.0019713445,0,2025-09-30 13:48:32.029024943+02:00
32.03192743764173,0.001705372,0,2025-09-30 13:48:32.031927438+02:00
32.03482993197279,0.001770495,0,2025-09-30 13:48:32.034829932+02:00
32.037732426303855,0.0018893742,0,2025-09-30 13:48:32.037732426+02:00
32.04063492063492,0.002150534,0,2025-09-30 13:48:32.040634921+02:00
32.04353741496599,0.002108373,0,2025-09-30 13:48:32.043537415+02:00
32.04643990929705,0.0023080898,0,2025-09-30 13:48:32.046439909+02:00
32.04934240362812,0.0023985973,0,2025-09-30 13:48:32.049342404+02:00
32.052244897959184,0.0023480344,0,2025-09-30 13:48:32.052244898+02:00
32.05514739229025,0.002478551,0,2025-09-30 13:48:32.055147392+02:00
32.05804988662131,0.002242874,0,2025-09-30 13:48:32.058049887+02:00
32.06095238095238,0.0020754726,0,2025-09-30 13:48:32.060952381+02:00
32.06385487528345,0.0019887628,0,2025-09-30 13:48:32.063854875+02:00
32.066757369614514,0.002039353,0,2025-09-30 13:48:32.066757370+02:00
32.06965986394558,0.0021372316,0,2025-09-30 13:48:32.069659864+02:00
32.07256235827664,0.0021581925,0,2025-09-30 13:48:32.072562358+02:00
32.07546485260771,0.0028721315,0,2025-09-30 13:48:32.075464853+02:00
