AU1,AU2,AU3,AU4,AU5,AU7,timestamp
2.2172365521873685,2.227767189945707,2.22210779920031,2.357366424508753,2.96243355881313,2.1695878222651017,0.017
2.4310519080231763,2.397384259714063,2.3565993477887752,2.4391488093234805,3.0219625436903335,2.2894933227784167,0.033
2.1800679217330714,2.1315139726637455,2.0892880980986708,2.1849070392468906,2.773192828699115,2.036929838666452,0.05
2.209264223074557,2.173206017381509,2.173395376038548,2.19767201465448,2.743712359654767,2.189493735079842,0.067
2.4272226790792275,2.296919923243675,2.33339690167884,2.5292103985268595,3.027283635035735,2.3045670628883363,0.083
2.172214863685727,2.1615877818600966,2.1632180839229296,2.170363140712819,2.78220042777401,2.034027236632157,0.1
2.225296765243156,2.151109102697605,2.1260814564779325,2.499757201032737,3.686015035850708,2.1359110418444716,0.117
2.3531176828770692,2.2381279839676207,2.2511521762623086,2.3923054362929164,2.821714457950047,2.323001059614663,0.133
2.092937269696989,2.087850626428539,2.083611444844925,2.1339384877230265,2.542206456025643,2.081689281399846,0.15
2.1799549280921022,2.1593414150146373,2.1994647545308337,2.235769816963234,2.5872502477959203,2.1262343273920696,0.167
2.3938958324178756,2.2793877831699314,2.345233327612182,2.320999466323062,2.7983086117052416,2.3371100143893195,0.184
2.092717559839549,2.0466825156689,2.1769170623796175,2.128606526243924,2.582369682531402,2.085160859401091,0.2
2.1913861181034644,2.122541603630862,2.173662363089676,2.2005471390589015,2.519171579112108,2.09386041947547,0.217
2.2359872191637216,2.2017473197503454,2.281747620954669,2.4144121620647048,2.8444942934483337,2.2908126873394603,0.234
1.9316514020627618,1.9763902260120112,2.225476921512164,2.1116298301368808,2.479889404768115,2.0421289596398133,0.25
2.1222528421039417,2.116824174312828,2.211021479743947,2.1678389930333526,2.45982807890054,2.1435633562985226,0.267
2.361523154280262,2.376754360112908,2.38618405578758,2.3960027116557927,2.807432138696159,2.2590572315608495,0.284
2.0372125724257852,2.0642932458363625,2.08346523765026,2.14676596583506,2.4383698216449012,2.1040690027665425,0.3
