timestamp,AU1,AU2,AU3,AU4,AU5,AU7
60.01,1.8675651753598532,2.018514516245227,2.0026253726694256,1.9279103422744253,2.033346665043676,1.8889301190314212
60.027,2.431817753811966,2.423384482385995,2.361303405356269,2.374886413354424,2.350096509990088,2.3153982213316517
60.043,2.4627591791639727,2.5368489301923494,2.346199566463884,2.315369415022765,2.437656864961367,2.3853987573235043
60.06,2.1201875694440084,2.229469975309612,2.0929114937925517,2.1427513690496225,2.1832066820850797,2.089469409295748
60.077,2.3210149339928816,2.281941961215789,2.298351672801012,2.230933069219341,2.245315063093768,2.2154975859751547
60.093,2.45081951776825,2.496682843127624,2.386902378091805,2.3151578674077244,2.4198387442688136,2.376876486862015
60.11,2.121901306332038,2.329665795626461,2.1589335774357803,2.066781735748181,2.214866595950638,2.109808238607081
60.127,2.306149992780962,2.2663483767871058,2.309107436860741,2.1968114004932904,2.2971232487639184,2.1717194206340373
60.143,2.4319433023019315,2.4102926826073574,2.4013387493563707,2.372453615781452,2.455463392862318,2.2966591215505834
60.16,2.1700868167808114,2.2202094425997605,2.124975367266116,2.18754176863422,2.1391946487673965,2.138764167707728
60.177,2.2315365251944432,2.214537857503062,2.201397232234237,2.1988787976402824,2.239037566441187,2.169336318395653
60.194,2.487172083037771,2.37541832851969,2.4406748415558988,2.3841320057117854,2.368407324325734,2.3560635109115573
60.21,2.198423110966033,2.211833048444244,2.0928224981088417,2.035900591852532,2.1204896795172763,2.084674343719206
60.227,2.327330023038148,2.327629002364252,2.260458582044485,2.178575034496685,2.1924693225752225,2.161910769725531
60.244,2.5127902524152392,2.4073193573950005,2.367088124797376,2.3570394872855074,2.431848876368674,2.314177809112686
60.26,2.206822304944727,2.1415735046597377,2.046506601572681,2.1481554490338524,2.091832298676682,2.106975727815091
60.277,2.2895210952850267,2.195073710958733,2.2342175690193318,2.184108927790145,2.273230505271822,2.162467376649721
60.294,2.4331736775035937,2.3270461258358384,2.292071120264953,2.4116235798664367,2.462343714678213,2.3904741878692675
60.31,2.2160061769857062,2.0971308066618204,2.0321337986536223,2.139304104504522,2.179537563542989,2.150568357514812
60.327,2.3063822574873982,2.1827088695469934,2.205262187641042,2.1554394180517424,2.261040684902128,2.185135709014146
60.344,2.4481955543279703,2.4020669194648017,2.416512513428813,2.37555471150194,2.452715901252601,2.41800767705254
60.36,2.071738407166308,2.15621745878932,2.079199801666762,2.060021827867552,2.15547092817686,2.1896133024931865
60.377,2.264436506989912,2.292983869383264,2.260248806504313,2.190892875172483,2.287605566858528,2.2165283395384696
60.394,2.3868337298573143,2.383611345789863,2.3748116787764366,2.3679438052608046,2.3661293407759056,2.450303247698327
60.41,2.143056226891231,2.0829583930945503,2.105898506779564,2.0967109153761463,2.112502246103373,2.169278596196107
60.427,2.3391943553398917,2.279728340242712,2.2659318165926097,2.242726848757879,2.267341367137913,2.23889981487666
60.444,3.526016785833108,3.328768558723173,3.358188556426442,3.271516556004827,3.3380052283490125,3.221566662955954
60.46,2.898914633304248,2.8673595693262866,2.904539415552632,2.9608973465198014,2.92130813060439,2.9246848986356944
60.477,1.9141750522595589,1.9052530928476463,1.8470545607109483,1.9505074738810813,2.017296445070455,1.935000680297352
60.494,2.3977878356068074,2.4162262346831183,2.430198778216399,2.500122601458717,2.516742889271451,2.478372728734523
60.511,1.9187261850208095,2.080338723303928,1.962914227231408,2.012726512204855,2.019122309747799,1.9998227103871096
60.527,2.415038198128072,2.429350780334139,2.3668274945807983,2.384728185354174,2.4148712330672786,2.361167802557093
60.544,2.439476211699864,2.410404018573459,2.430033500518082,2.4021760556947176,2.410744199256902,2.406657018813314
60.561,2.129948964538829,2.1366026812320307,2.069003439047492,2.084143063882572,2.194590803438422,2.139926857727147
60.577,2.2850076270707653,2.272530797492976,2.247109229488084,2.199292277069681,2.2545834999797125,2.21861458475062
60.594,2.4481516123564826,2.4349765212095016,2.41467538824367,2.352803727084345,2.3952098585099786,2.3214013300843983
60.611,2.126000464529413,2.166512761066468,2.1395833730635494,2.1093316537734808,2.133346085404096,2.1270960373710013
60.627,2.263965700152541,2.242044390304602,2.3022801965533244,2.174406584900308,2.228186713501545,2.184265753006708
60.644,2.444422822204506,2.392858780150762,2.451443319284729,2.3335000072118506,2.411654233397673,2.359349553271405
60.661,2.143432872361128,2.146727704972788,2.169911830704782,2.097081123702468,2.175648181960457,2.1243130027500503
60.677,2.282458992724465,2.231323391686478,2.224923876906256,2.2341014755446147,2.2350612389216384,2.18361019374044
60.694,2.443958292791633,2.438192165877491,2.397353014093102,2.3324663086383546,2.391094417491204,2.368123327602344
60.711,2.246238253369408,2.2488031383644094,2.231579482680804,2.038742060954561,2.100677598669148,2.089692052065424
60.727,2.2965015913271105,2.248822785887839,2.254381448214047,2.1619252756128877,2.211185884616945,2.126238450406323
60.744,2.3712406074035943,2.3260113562685425,2.392451894654538,2.3308845094258888,2.385355985648124,2.381848842051447
60.761,2.0763774238705346,2.083894925044698,2.0795748549052515,2.0259338144438943,2.158316958515196,2.1107812699708504
60.777,2.2772863949378848,2.251337668886837,2.243759177679882,2.195917131029708,2.210930843201697,2.182047571338454
60.794,2.4881199741370112,2.44624110130918,2.336568962119623,2.3773047872263704,2.398554378887208,2.437196185387213
60.811,2.2096785330914432,2.2529880608549293,2.1593976263579786,2.1348279492862674,2.075382127393187,2.158538144066364
60.827,2.268968807477668,2.18591141586603,2.2434921906287544,2.187301373617128,2.197320905860736,2.1668460177866837
60.844,2.43395207814138,2.532762245318977,2.414052418457705,2.3686986456144736,2.42980854504669,2.347702038005945
60.861,2.098524177500455,2.291182846402211,2.13206323779011,2.071344433172589,2.1587053170338684,2.1225607216924147
60.878,2.3000860007156265,2.325101021016301,2.242239894222273,2.1889216360323283,2.277641562476452,2.1939836976016425
60.894,2.477347913697968,2.5260231447826,2.410212890389102,2.3819059478535127,2.422394954817095,2.4543025715239897
60.911,2.145994061556425,2.212952957279735,2.1581771141242507,2.1325201571221832,2.077428255110972,2.178072985598311
60.928,2.3150513807195185,2.30478548179002,2.2752445792093368,2.244476924482309,2.292625245622272,2.2011907265163417
60.944,3.4634308635852884,3.3521491116044824,3.371900248552231,3.245125991028458,3.3052729812602526,3.1929364519813146
60.961,3.0443625589293224,2.897557812837692,2.9595387480850035,2.966224500098562,2.9452936164293044,2.976094763359597
60.978,1.9700190205962296,1.9916039583210536,1.8134141922688176,1.9465265323980363,1.805536717269202,1.8867243064059271
60.994,2.607391039604271,2.390743396794834,2.4563062977159893,2.40045963527268,2.384144538925696,2.384858642456327
61.011,2.148153495583832,2.06344185315441,2.007984184195638,1.8339639695948384,1.983399122425676,1.8479308652970008
61.028,2.5231793899598878,2.362208643600474,2.420161336460896,2.3484766167766877,2.3643208652859653,2.31449940422444
61.044,2.4966949360016573,2.4372294372294374,2.411198199744456,2.3577462486357583,2.329015018461521,2.329197950037313
61.061,2.096232917558584,2.160873921842152,2.049564238991552,2.019068132755744,2.130807264043218,2.0595198337600653
61.078,2.3515608816014963,2.2343294627712176,2.2743419087031422,2.227505036275608,2.263394021597371,2.2006506116491646
61.094,2.438961462891005,2.3902784054069985,2.403576355118205,2.341178224057772,2.3809275392560907,2.3922182228983964
61.111,2.1045630598677976,2.2339037664302417,2.106476978723675,2.010909125875638,2.088661670173486,2.179351120016822
61.128,2.279841306708684,2.295001015122044,2.2508724755420797,2.2030712867383686,2.2035520313469084,2.1994301994301995
61.144,2.3678382433255285,2.366537647929478,2.410022185352582,2.3205090604881944,2.3877498971139746,2.3867840901126
61.161,2.12593769028443,2.196665160356537,2.1087145844855097,2.043107634464953,2.1609311330214878,2.147496711896133
61.178,2.264976365496764,2.218925804402355,2.2521819834595167,2.1724786168632297,2.246810533210449,2.2100387151038383
61.195,2.455464811896975,2.369989062878624,2.271697465530065,2.3131962440682527,2.4007454165000204,2.335547391987334
61.211,2.1058750415879373,2.059486151770569,2.0607268404625234,2.030159958844373,2.142492797978217,2.1048771135601814
61.228,2.2836705356526323,2.2522087090922187,2.236315324421051,2.1745267824088543,2.187322123103854,2.1810869090174445
61.245,2.4013785224198214,2.450177155169591,2.4043582457679373,2.32592756417345,2.4477078152804586,2.39391690477074
61.261,2.0809160017827883,2.2718824292197968,2.1149252118415114,2.1279574596977757,2.1636206606731934,2.093909895646509
61.278,2.238573518057012,2.230170736978604,2.208974579018632,2.1941574395045937,2.180934494931052,2.143839598253491
61.295,2.33508264229352,2.4062518419553216,2.415260217022332,2.3525152530638347,2.389552576208114,2.3445355630594413
61.311,2.077934225146107,2.1973135286297163,2.158329678153467,2.0146785197436428,2.12066936778711,2.0918112813916
61.328,2.24928908167557,2.2664466144042543,2.26069378492286,2.177296133005755,2.215712869737597,2.1782007990401624
