AU1,AU2,AU3,AU4,AU5,AU7,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,0.005
0.01066795759352889,0.017760438923738978,0.03128958000940338,0.010352326394781137,0.008744697060668346,0.015437571793464656,0.10500000000000001
0.0038961219598764776,0.003873133166666455,0.01649039850902783,0.0007300768793666188,0.00317669631982226,0.003662573484871012,0.20500000000000002
0.004758787058258004,0.00451187733202647,0.013378578786265026,0.002239728723230748,0.006172274903772856,0.003305681345748108,0.30500000000000005
0.00507163059580571,0.0037202957932021222,0.03702709967223952,0.004616568660472982,0.004985418595279856,0.0024875013138708256,0.405
0.001100266244351637,0.005136580996950595,0.0066913650759116115,0.005395724409420634,0.001485818279820452,0.0015235320370449214,0.505
0.001054364763301954,0.004085025812975321,0.005919200256105359,0.002409319334977876,0.0006654393175127654,0.0026783526634863086,0.6050000000000001
0.005854822135431664,0.005219449998830374,0.01747082851055469,0.00488922405999168,0.002942244328767928,0.0019802813973703896,0.7050000000000001
0.006360979808903212,0.008311095171636286,0.015043957217231336,0.004275279375442202,0.007266550110015338,0.0026199134464103607,0.805
0.0021252706361670833,0.007456052630261239,0.014254662323864374,0.001542434100764029,0.0015215423436939885,0.0053562302829926476,0.905
0.004251815301602105,0.0035019612049922368,0.019194471041157356,0.0038175071456096714,0.00457805332832495,0.0024150350671225495,1.005
0.001768759916426345,0.006492787192398858,0.027218571080357794,0.0053413790635794,0.0019380460415037734,0.0031738073535133035,1.105
0.004073276613749193,0.0025030215451008328,0.07842169618207112,0.0037225439082534556,0.0027288989449183055,0.0038848559773715886,1.205
0.003951408845796393,0.00389134876945612,0.12100180408810728,0.0027558951070207395,0.0038596563007589116,0.0058250653105483136,1.305
0.005916190534016739,0.0023908428673327696,0.05449814418775023,0.00415463842103277,0.0066230300752954645,0.0036196672822458986,1.405
0.006685300268579598,0.000600488977428556,0.02434003323266563,0.0041223649396837925,0.0026444946227789506,0.006229533803634549,1.505
0.0035235766291164205,0.0046250028209593765,0.03047698504745153,0.003983050172084217,0.003804596809386485,0.0012897646301175422,1.605
0.0038259688592348936,0.00258672792093172,0.0574022315343297,0.001132624932386778,0.0028381079612764537,0.00315157520140839,1.705
0.008332684349893526,0.0023038534625001244,0.3300854198957735,0.001990948966606034,0.004272971511912832,0.0010231263744352043,1.805
0.01102245251094077,0.003524669681477206,0.3364063386946043,0.005802205157381137,0.003280943794789164,0.0016029654856600099,1.905
0.010311962281239354,0.00545822771431563,0.15252274993551934,0.0029299632203646847,0.00157821282554491,0.002140735341036974,2.005
0.0029241605937368985,0.0035657572970189235,0.05970894058027442,0.0034784290234993313,0.0029112185747921892,0.0021488710171129934,2.105
0.007616663964418921,0.004740516381185972,0.021661957603446604,0.009318555509148124,0.006604214946802769,0.0021091761890255963,2.205
0.007061344368260505,0.002282534779666393,0.04334202159569257,0.0045112481324856785,0.006704738355133525,0.0013066035882474199,2.305
0.004707670254427973,0.002855814265536707,0.14098261491984304,0.0023293342774948103,0.0015200438754920792,0.004049154180750844,2.4050000000000002
0.008734360108521523,0.002151835047043833,0.0882686722576242,0.003834720198594519,0.0037983858380561124,0.0023565331913818675,2.505
0.004306812514562293,0.0030288124192915933,0.010466834302801258,0.007740637212044135,0.0033765632159775067,0.003743113556208144,2.605
